Rate Date,Currency,Rate Year,Rate Month,Buying Rate,Central Rate,Selling Rate
2024-06-28,US DOLLAR,2024,June,1469.691,1470.191,1470.691
2024-06-27,US DOLLAR,2024,June,1512.735,1513.235,1513.735
2024-06-26,US DOLLAR,2024,June,1507.453,1507.953,1508.453
2024-06-25,US DOLLAR,2024,June,1498.368,1498.868,1499.368
2024-06-24,US DOLLAR,2024,June,1488.455,1488.955,1489.455
2024-06-21,US DOLLAR,2024,June,1479.518,1480.018,1480.518
2024-06-20,US DOLLAR,2024,June,1482.311,1482.811,1483.311
2024-06-19,US DOLLAR,2024,June,1478.807,1479.307,1479.807
2024-06-14,US DOLLAR,2024,June,1473.59,1474.09,1474.59
2024-06-13,US DOLLAR,2024,June,1477.148,1477.648,1478.148
2024-06-11,US DOLLAR,2024,June,1472.65,1473.15,1473.65
2024-06-10,US DOLLAR,2024,June,1480.646,1481.146,1481.646
2024-06-07,US DOLLAR,2024,June,1447.465,1447.965,1448.465
2024-06-06,US DOLLAR,2024,June,1484.822,1485.322,1485.822
2024-06-05,US DOLLAR,2024,June,1480.171,1480.671,1481.171
2024-06-04,US DOLLAR,2024,June,1473.919,1474.419,1474.919
2024-06-03,US DOLLAR,2024,June,1473.777,1474.277,1474.777
2024-05-31,US DOLLAR,2024,June,1482.482,1482.982,1483.482
2024-05-30,US DOLLAR,2024,May,1474.19,1474.69,1475.19
2024-05-29,US DOLLAR,2024,May,1196.113,1196.613,1197.113
2024-05-28,US DOLLAR,2024,May,1327.04,1327.54,1328.04
2024-05-27,US DOLLAR,2024,May,1381.893,1382.393,1382.893
2024-05-24,US DOLLAR,2024,May,1480.119,1480.619,1481.119
2024-05-23,US DOLLAR,2024,May,1478.694,1479.194,1479.694
2024-05-22,US DOLLAR,2024,May,1467.183,1467.683,1468.183
2024-05-21,US DOLLAR,2024,May,1445.781,1446.281,1446.781
2024-05-20,US DOLLAR,2024,May,1481.375,1481.875,1482.375
2024-05-17,US DOLLAR,2024,May,1500.337,1500.837,1501.337
2024-05-16,US DOLLAR,2024,May,1529.867,1530.367,1530.867
2024-05-15,US DOLLAR,2024,May,1491.58,1492.08,1492.58
2024-05-14,US DOLLAR,2024,May,1501.636,1502.136,1502.636
2024-05-13,US DOLLAR,2024,May,1406.56,1407.06,1407.56
2024-05-10,US DOLLAR,2024,May,1456.514,1457.014,1457.514
2024-05-09,US DOLLAR,2024,May,1439.148,1439.648,1440.148
2024-05-08,US DOLLAR,2024,May,1414.099,1414.599,1415.099
2024-05-07,US DOLLAR,2024,May,1412.073,1412.573,1413.073
2024-05-06,US DOLLAR,2024,May,1381.66,1382.16,1382.66
2024-05-03,US DOLLAR,2024,May,1382.065,1382.565,1383.065
2024-05-02,US DOLLAR,2024,May,1441.083,1441.583,1442.083
2024-04-30,US DOLLAR,2024,April,1329.205,1329.705,1330.205
2024-04-29,US DOLLAR,2024,April,1373.146,1373.646,1374.146
2024-04-26,US DOLLAR,2024,April,1326.85,1327.35,1327.85
2024-04-25,US DOLLAR,2024,April,1164.343,1164.843,1165.343
2024-04-24,US DOLLAR,2024,April,1329.44,1329.94,1330.44
2024-04-23,US DOLLAR,2024,April,1277.026,1277.526,1278.026
2024-04-22,US DOLLAR,2024,April,1251.087,1251.587,1252.087
2024-04-19,US DOLLAR,2024,April,1149.66,1150.16,1150.66
2024-04-18,US DOLLAR,2024,April,1160.131,1160.631,1161.131
2024-04-17,US DOLLAR,2024,April,1118.485,1118.985,1119.485
2024-04-16,US DOLLAR,2024,April,1146.529,1147.029,1147.529
2024-04-15,US DOLLAR,2024,April,1160.714,1161.214,1161.714
2024-04-12,US DOLLAR,2024,April,1138.133,1138.633,1139.133
2024-04-08,US DOLLAR,2024,April,1237.679,1238.179,1238.679
2024-04-05,US DOLLAR,2024,April,1246.165,1246.665,1247.165
2024-04-04,US DOLLAR,2024,April,1250.7,1251.2,1251.7
2024-04-03,US DOLLAR,2024,April,1259.99,1260.49,1260.99
2024-04-02,US DOLLAR,2023,April,1329.756,1330.256,1330.756
